LInk;Tail;Head;Polarity;Delay;Biome;Regime Shift;Scale
808;Protection need;Defense infrastructure;1;0;Aquatic;River channel change;
809;Channelization;Economic opportunities and transportation;1;0;Aquatic;River channel change;
810;Economic opportunities and transportation;Channelization;1;0;Aquatic;River channel change;
811;Economic opportunities and transportation;Protection need;1;0;Aquatic;River channel change;
812;Course change in width or depth;Economic opportunities and transportation;-1;0;Aquatic;River channel change;
813;Channelization;Course change in width or depth;1;0;Aquatic;River channel change;
814;Current;Discharge;1;0;Aquatic;River channel change;
815;Blocking;Course change in width or depth;1;0;Aquatic;River channel change;
816;Crevasse splay;Course change in width or depth;1;0;Aquatic;River channel change;
817;Floods;Course change in width or depth;1;0;Aquatic;River channel change;
818;GHG;Temperature;1;0;Earth System;Moonson;
819;Temperature;Sea surface temperature;1;0;Earth System;Moonson;
820;Sea surface temperature;Water vapor;1;0;Earth System;Moonson;
821;Water vapor;Advection;1;0;Earth System;Moonson;
822;Advection;Precipitation;1;0;Earth System;Moonson;
823;Precipitation;Soil moisture;1;0;Earth System;Moonson;
824;Precipitation;Latent heat release;1;0;Earth System;Moonson;
825;Soil moisture;Droughts and dry spells;-1;0;Earth System;Moonson;
826;Droughts and dry spells;Fire;1;0;Earth System;Moonson;
827;Fire;Vegetation;-1;0;Earth System;Moonson;
828;Vegetation;Albedo;-1;0;Earth System;Moonson;
829;Albedo;Land-Ocean temperature gradient;-1;0;Earth System;Moonson;
830;Land-Ocean temperature gradient;Land-Ocean pressure gradient;1;0;Earth System;Moonson;
831;Land-Ocean pressure gradient;Wind stress;1;0;Earth System;Moonson;
832;Wind stress;Advection;1;0;Earth System;Moonson;
833;Latent heat release;Land-Ocean temperature gradient;1;0;Earth System;Moonson;
834;Fire;Aerosol concentration;-1;0;Earth System;Moonson;
835;Vegetation;Dust;-1;0;Earth System;Moonson;
836;Dust;Aerosol concentration;1;0;Earth System;Moonson;
837;Aerosol concentration;Brown clouds;1;0;Earth System;Moonson;
838;Brown clouds;Solar radiation;-1;0;Earth System;Moonson;
839;Solar radiation;Temperature;1;0;Earth System;Moonson;
840;Agriculture;Irrigation;1;0;Earth System;Moonson;
841;Agriculture;Deforestation;1;0;Earth System;Moonson;
842;Deforestation;Vegetation;-1;0;Earth System;Moonson;
843;Irrigation;Water vapor;1;0;Earth System;Moonson;
844;GHG;CO2 in atmosphere;1;0;Marine;Primary production Arctic Ocean;
845;CO2 in atmosphere;Temperature;1;0;Marine;Primary production Arctic Ocean;
846;CO2 in atmosphere;Ocean acidification;1;1;Marine;Primary production Arctic Ocean;
847;Land use;CO2 in atmosphere;0,5;1;Marine;Primary production Arctic Ocean;
848;Land use;River runoff;-0,5;1;Marine;Primary production Arctic Ocean;
849;Temperature;Sea Ice extent;-1;0;Marine;Primary production Arctic Ocean;
850;Sea Ice extent;Albedo;1;0;Marine;Primary production Arctic Ocean;
851;Albedo;Temperature;-1;0;Marine;Primary production Arctic Ocean;
852;Temperature;Sea surface temperature;1;0;Marine;Primary production Arctic Ocean;
853;Sea Ice extent;Light penetration;-1;0;Marine;Primary production Arctic Ocean;
854;Sea Ice extent;Wind stress;-1;0;Marine;Primary production Arctic Ocean;
855;Wind stress;Sea Ice extent;-1;0;Marine;Primary production Arctic Ocean;
856;Sea surface temperature;Subpolar gyre;-1;0;Marine;Primary production Arctic Ocean;
857;Subpolar gyre;Sea surface temperature;-1;0;Marine;Primary production Arctic Ocean;
858;Wind stress;Water mixing;1;0;Marine;Primary production Arctic Ocean;
859;Subpolar gyre;Nutrients;-1;0;Marine;Primary production Arctic Ocean;
860;Water mixing;Nutrients;1;0;Marine;Primary production Arctic Ocean;
861;River runoff;Water mixing;-1;0;Marine;Primary production Arctic Ocean;
862;River runoff;Nutrients;1;0;Marine;Primary production Arctic Ocean;
863;Water mixing;Primary production;1;0;Marine;Primary production Arctic Ocean;
864;Nutrients;Primary production;1;0;Marine;Primary production Arctic Ocean;
865;Primary production;Ocean acidification;-1;0;Marine;Primary production Arctic Ocean;
866;Ocean acidification;Zooplankton;-1;0;Marine;Primary production Arctic Ocean;
867;Primary production;Zooplankton;1;0;Marine;Primary production Arctic Ocean;
868;Zooplankton;Primary production;-1;0;Marine;Primary production Arctic Ocean;
869;Zooplankton;Fish;1;0;Marine;Primary production Arctic Ocean;
870;Fish;Fishing;1;0;Marine;Primary production Arctic Ocean;
871;Fish;Zooplankton;-1;0;Marine;Primary production Arctic Ocean;
872;Fishing;Fish;-1;0;Marine;Primary production Arctic Ocean;
873;Sea Ice extent;Ice-dependent predators;1;0;Marine;Primary production Arctic Ocean;
874;Sea Ice extent;Non-ice-dependent predators;-1;0;Marine;Primary production Arctic Ocean;
875;Ice-dependent predators;Fish;-1;0;Marine;Primary production Arctic Ocean;
876;Non-ice-dependent predators;Fish;-1;0;Marine;Primary production Arctic Ocean;
877;Fish;Ice-dependent predators;1;0;Marine;Primary production Arctic Ocean;
878;Fish;Non-ice-dependent predators;1;0;Marine;Primary production Arctic Ocean;
879;Light penetration;Sea surface temperature;1;0;Marine;Primary production Arctic Ocean;
880;Light penetration;Primary production;1;0;Marine;Primary production Arctic Ocean;
881;Climate change;Sea Ice extent;-1;0;Marine;Arctic Benthos Borealisation;
882;Sea Ice extent;Climate change;-0,5;1;Marine;Arctic Benthos Borealisation;
883;Sea Ice extent;Light penetration;-1;0;Marine;Arctic Benthos Borealisation;
884;Sea Ice extent;Sea surface temperature;-1;0;Marine;Arctic Benthos Borealisation;
885;Sea surface temperature;Sea Ice extent;-1;0;Marine;Arctic Benthos Borealisation;
886;Climate change;NAO;0,5;1;Marine;Arctic Benthos Borealisation;
887;NAO;Sea Ice extent;-1;0;Marine;Arctic Benthos Borealisation;
888;NAO;Sea surface temperature;1;0;Marine;Arctic Benthos Borealisation;
889;Climate change;Sea surface temperature;1;0;Marine;Arctic Benthos Borealisation;
890;Light penetration;Macrophytes;1;1;Marine;Arctic Benthos Borealisation;
891;Sea surface temperature;Macrophytes;1;1;Marine;Arctic Benthos Borealisation;
892;Sea surface temperature;Red calcareous algae;-1;1;Marine;Arctic Benthos Borealisation;
893;Macrophytes;Grazers;1;0;Marine;Arctic Benthos Borealisation;
894;Red calcareous algae;Grazers;1;0;Marine;Arctic Benthos Borealisation;
895;Grazers;Macrophytes;-1;0;Marine;Arctic Benthos Borealisation;
896;Macrophytes;Sea anemones;-1;0;Marine;Arctic Benthos Borealisation;
897;Red calcareous algae;Macrophytes;-1;0;Marine;Arctic Benthos Borealisation;
898;Sea anemones;Macrophytes;-1;0;Marine;Arctic Benthos Borealisation;
899;Red calcareous algae;Sea anemones;-1;0;Marine;Arctic Benthos Borealisation;
900;Sea anemones;Red calcareous algae;-1;0;Marine;Arctic Benthos Borealisation;
901;Macrophytes;Red calcareous algae;-1;0;Marine;Arctic Benthos Borealisation;
902;Light penetration;Red calcareous algae;-1;1;Marine;Arctic Benthos Borealisation;
903;GHG;Climate change;1;1;Terrestrial;Thermokarst lakes;
904;Climate change;Temperature;1;0;Terrestrial;Thermokarst lakes;
905;Temperature;Terrestrial ecosystem;1;0;Terrestrial;Thermokarst lakes;
906;Terrestrial ecosystem;Albedo;-1;0;Terrestrial;Thermokarst lakes;
907;Albedo;Temperature;-1;0;Terrestrial;Thermokarst lakes;
908;Temperature;Snowfall;1;0;Terrestrial;Thermokarst lakes;
909;Snowfall;Albedo;1;0;Terrestrial;Thermokarst lakes;
910;Temperature;Soil temperature;1;1;Terrestrial;Thermokarst lakes;
911;Soil temperature;Discontinuous permafrost;1;0;Terrestrial;Thermokarst lakes;
912;Soil temperature;Continuous permafrost;-1;0;Terrestrial;Thermokarst lakes;
913;Discontinuous permafrost;Active permafrost layer;1;0;Terrestrial;Thermokarst lakes;
914;Continuous permafrost;Active permafrost layer;-1;0;Terrestrial;Thermokarst lakes;
915;Active permafrost layer;Thermokrast lake drainage;1;0;Terrestrial;Thermokarst lakes;
916;Active permafrost layer;Lake;1;0;Terrestrial;Thermokarst lakes;
917;Lake;Continuous permafrost;1;0;Terrestrial;Thermokarst lakes;
918;Snowfall;Continuous permafrost;1;0;Terrestrial;Thermokarst lakes;
919;Thermokrast lake drainage;Discontinuous permafrost;1;0;Terrestrial;Thermokarst lakes;
920;Thermokrast lake drainage;Terrestrial ecosystem;1;0;Terrestrial;Thermokarst lakes;
921;Thermokrast lake drainage;GHG;0,5;1;Terrestrial;Thermokarst lakes;
922;Active permafrost layer;GHG;0,5;1;Terrestrial;Thermokarst lakes;
923;Lake;Albedo;-1;0;Terrestrial;Thermokarst lakes;
924;Climate change;Temperature;1;0;Terrestrial;Coniferous to deciduous forest;
925;Temperature;Soil temperature;1;0;Terrestrial;Coniferous to deciduous forest;
926;Temperature;Growth season;1;0;Terrestrial;Coniferous to deciduous forest;
927;Temperature;Relative humidity;-1;0;Terrestrial;Coniferous to deciduous forest;
928;Temperature;Insect outbreaks;1;0;Terrestrial;Coniferous to deciduous forest;
929;Soil temperature;Permafrost;-1;0;Terrestrial;Coniferous to deciduous forest;
930;Soil temperature;Decomposition / Mineralization;1;0;Terrestrial;Coniferous to deciduous forest;
931;Permafrost;Soil moisture;1;0;Terrestrial;Coniferous to deciduous forest;
932;Soil moisture;Deciduous:Coniferous abundance ratio;-1;0;Terrestrial;Coniferous to deciduous forest;
933;Deciduous:Coniferous abundance ratio;Fire frequency;1;0;Terrestrial;Coniferous to deciduous forest;
934;Deciduous:Coniferous abundance ratio;Depth of soil organic layer;1;0;Terrestrial;Coniferous to deciduous forest;
935;Depth of soil organic layer;Deciduous:Coniferous abundance ratio;1;0;Terrestrial;Coniferous to deciduous forest;
936;Deciduous:Coniferous abundance ratio;Albedo;1;0;Terrestrial;Coniferous to deciduous forest;
937;Depth of soil organic layer;Soil temperature;-1;0;Terrestrial;Coniferous to deciduous forest;
938;Decomposition / Mineralization;Depth of soil organic layer;-1;0;Terrestrial;Coniferous to deciduous forest;
939;Albedo;Temperature;-1;0;Terrestrial;Coniferous to deciduous forest;
940;Growth season;Albedo;-1;0;Terrestrial;Coniferous to deciduous forest;
941;Growth season;Lightning;1;0;Terrestrial;Coniferous to deciduous forest;
942;Lightning;Fire frequency;1;0;Terrestrial;Coniferous to deciduous forest;
943;Relative humidity;Fire frequency;-1;0;Terrestrial;Coniferous to deciduous forest;
944;Fire frequency;Fire;1;0;Terrestrial;Coniferous to deciduous forest;
945;Fire;Fragmentation;-1;0;Terrestrial;Coniferous to deciduous forest;
946;Fragmentation;Fire;1;0;Terrestrial;Coniferous to deciduous forest;
947;Fire;Insect outbreaks;-1;0;Terrestrial;Coniferous to deciduous forest;
948;Fire;Fuel quantity;-1;0;Terrestrial;Coniferous to deciduous forest;
949;Fuel quantity;Fire;1;0;Terrestrial;Coniferous to deciduous forest;
950;Insect outbreaks;Fuel quantity;1;0;Terrestrial;Coniferous to deciduous forest;
951;Depth of soil organic layer;Fuel quantity;1;0;Terrestrial;Coniferous to deciduous forest;
952;Fire;Depth of soil organic layer;-1;0;Terrestrial;Coniferous to deciduous forest;
953;Urbanization;Economic development;1;0;Terrestrial;Sprawling vs compact city;
954;Economic development;Jobs;1;0;Terrestrial;Sprawling vs compact city;
955;Jobs;Urbanization;1;0;Terrestrial;Sprawling vs compact city;
956;Urbanization;Outskirt development;1;0;Terrestrial;Sprawling vs compact city;
957;Outskirt development;Sprawl;1;0;Terrestrial;Sprawling vs compact city;
958;Sprawl;Traffic;1;1;Terrestrial;Sprawling vs compact city;
959;Traffic;Human well being;-1;0;Terrestrial;Sprawling vs compact city;
960;Human well being;Urbanization;1;1;Terrestrial;Sprawling vs compact city;
961;Desire for space;Outskirt development;1;0;Terrestrial;Sprawling vs compact city;
962;Urban insecurity;Outskirt development;1;0;Terrestrial;Sprawling vs compact city;
963;Urban pollution;Outskirt development;1;0;Terrestrial;Sprawling vs compact city;
964;Sprawl;Private car use;1;0;Terrestrial;Sprawling vs compact city;
965;Private car use;Sprawl;1;0;Terrestrial;Sprawling vs compact city;
966;Subsidies;Private car use;1;0;Terrestrial;Sprawling vs compact city;
967;Car prices;Private car use;-1;0;Terrestrial;Sprawling vs compact city;
968;Fuel prices;Private car use;-1;0;Terrestrial;Sprawling vs compact city;
969;Traffic;Government interventions;1;1;Terrestrial;Sprawling vs compact city;
970;Government interventions;Public transportation;1;0;Terrestrial;Sprawling vs compact city;
971;Public transportation;Compact city;1;0;Terrestrial;Sprawling vs compact city;
972;Compact city;Traffic;-1;0;Terrestrial;Sprawling vs compact city;
973;Government interventions;Compact city;1;0;Terrestrial;Sprawling vs compact city;
974;Government interventions;Private car use;-1;0;Terrestrial;Sprawling vs compact city;
975;Government interventions;Subsidies;-1;0;Terrestrial;Sprawling vs compact city;
